PROMEDIO;STD;APRO_N1;APRO_N2;APRO_N3;APRO_N4;APRO_N5;APRO_N6;APRO_N7;APRO_N8;PERD_N1;PERD_N2;PERD_N3;PERD_N4;PERD_N5;PERD_N6;PERD_N7;PERD_N8;RETIROS;STATUS
15,60;1,00;2;5;6;6;6;1;0;0;0;0;0;1;0;0;0;0;0;1
15,96;1,57;4;4;6;6;7;4;1;0;0;2;0;0;0;0;0;0;0;1
17,48;0,87;4;5;6;5;5;5;0;0;0;0;0;0;0;0;0;0;0;1
14,88;0,51;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
16,14;1,34;4;5;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1
16,94;1,26;4;5;6;5;5;5;0;0;0;0;0;0;0;0;0;0;0;1
16,41;1,94;3;3;6;5;7;5;2;0;0;0;1;0;0;0;0;0;0;1
16,31;1,12;2;5;6;6;7;2;0;0;0;0;0;0;1;0;0;0;0;1
16,30;0,29;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
16,16;0,98;2;5;6;6;7;2;0;0;0;0;0;0;0;0;0;0;0;1
16,33;1,12;2;4;5;6;4;0;0;0;0;0;0;0;0;0;0;0;0;1
16,39;1,59;4;2;4;7;7;5;5;3;0;0;0;0;0;0;0;1;0;1
14,83;0,54;3;5;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
13,88;1,36;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
15,01;0,42;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
11,66;2,14;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2
0,03;0,00;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2
0,27;0,07;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1
14,69;0,64;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
9,21;3,80;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;2
10,70;3,91;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;2
5,42;0,57;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2
4,97;0,37;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2
4,48;1,31;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
5,06;2,53;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
8,12;0,49;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
9,90;3,98;1;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2
2,68;0,65;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
3,33;1,02;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
11,14;3,82;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;2
2,08;0,98;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;2
9,92;3,43;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;2
3,28;2,22;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;2
5,42;3,71;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;1
